Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Bersemangat,Rock,Evanescence ,Bring me to life ,2003,spotify:track:0COqiPhxzoWICwFCS4eZcp
Sedih,Pop,Mahalini,Bohongi hati,2023,spotify:track:6gARWk9hXgTUImaKUsTu6w
Sedih,Pop,Joji,Die for you ,2022,spotify:track:26hOm7dTtBi0TdpDGl141t
Bahagia,Pop,Kobo Kanaeru,Mantra hujan,2022,spotify:track:5npIL1FmDdtzjLUpLUZ9w7
Bersemangat,Pop Punk,Threesixty,Sampai Nanti,2013,spotify:track:6mMLJpfRxyl76pgAVJyhuP
Bersemangat,Pop,NIKI,La La Lost You,2019,spotify:track:5WkCcSa78lM1Ym4LXzJUiN
Netral,Indie,nadin amizah,rumpang,2018,spotify:track:2TRGNVokPnC2a2oHg5iv1H
Bersemangat,Rock,Gun n roses,Paradise city ,1987,spotify:track:6eN1f9KNmiWEhpE2RhQqB5
Netral,Reggae,Coconuttreez,lagu santai,2008,spotify:track:5xNrCftiKTwkykqtTQLynE
Sedih,Pop,wali,yank,2009,spotify:track:0C3xZJueyBvvMSsl0cETA6
Sedih,Pop,geisha,lumpuhkan ingatanku,2012,spotify:track:72lcnQHpDAp7Hhs6QVuz4X
Netral,Rap,eminem,rap god,2013,spotify:track:6or1bKJiZ06IlK0vFvY75k
Netral,Indie,hindia ,secukupnya,2019,spotify:track:5drW6PGRxkE6MxttzVLNk5
Marah,Pop Punk,The Ramones,Blitzkrieg Pop,1976,spotify:track:48OhQk5Ud4iFgKBnlE7VFZ
Sedih,Indie,kunto aji,terlalu lama sendiri,2915,spotify:track:2BYjHJxyEgy5Bu8wFgeSAg
Bersemangat,Metal,metallica,enter sand man,1991,spotify:track:3gsYjIoGPMyWl7sdR3owxT
Sedih,Pop,Adele,Love in the dark ,2915,spotify:track:0DuWDLjriRPjDRoPgaCslY
Marah,Pop,Madison beer,Reckless,2021,spotify:track:5ajjAnNRh8bxFvaVHzpPjh
Bersemangat,Pop,"Rema, Selena Gomez",Calm down,2022,spotify:track:0WtM2NBVQNNJLh6scP13H8
